RecordID,EmployeeID,Date,HoursWorked,Project,Task,Location,Billable,Rate,Cost
1247,407,1/14/2025,6,Internal,sell,Remote,Yes,45,270
1248,900,8/27/2024,8,ClientA,party,Remote,Yes,30,240
1249,50,2/21/2025,8,clienta,garden,Remote,Yes,75,600
1250,412,3/28/2025,8,clienta,pass,Hybrid,Yes,75,600
1251,10,2/20/2024,7,Internal,five,Remote,Yes,30,210
1252,350,6/23/2025,8,CLIENT A,story,Hybrid,Yes,75,600
1253,493,11/26/2023,7,CLIENT A,travel,Hybrid,No,60,420
1254,241,4/8/2024,8,ProjectX,billion,Onsite,No,30,240
1255,557,11/25/2023,8,Research,reason,Onsite,Yes,75,600
1256,500,2/7/2025,10,Research,color,Remote,Yes,45,450
1257,486,12/16/2023,8,Research,rather,Hybrid,No,60,480
1258,741,10/5/2024,7,Research,music,Onsite,No,45,315
1259,291,6/22/2024,9,ProjectX,approach,Hybrid,Yes,45,405
1260,530,5/15/2024,10,ProjectX,husband,Onsite,No,45,450
1261,886,12/24/2023,7,ClientA,garden,Remote,Yes,60,420
1262,184,6/2/2025,6,CLIENT A,huge,Onsite,No,30,180
1263,854,6/30/2025,6,CLIENT A,prepare,Onsite,No,30,180
1264,209,1/31/2024,10,ClientA,herself,Onsite,Yes,30,300
1265,917,8/10/2025,10,ClientA,development,Hybrid,No,45,450
1266,185,9/7/2024,6,Internal,dream,Hybrid,Yes,60,360
1267,941,6/12/2025,10,Internal,buy,Hybrid,No,30,300
1268,669,4/20/2024,8,clienta,record,Remote,Yes,30,240
1269,257,12/28/2023,10,ProjectX,product,Remote,No,45,450
1270,593,3/7/2024,10,CLIENT A,two,Remote,No,45,450
1271,322,12/17/2024,8,Research,down,Onsite,Yes,45,360
1272,134,2/10/2024,7,ClientA,he,Remote,Yes,60,420
1273,981,4/17/2024,9,clienta,summer,Onsite,Yes,45,405
1274,143,9/7/2025,8,CLIENT A,fear,Onsite,No,60,480
1275,711,2/18/2024,6,CLIENT A,often,Hybrid,Yes,60,360
1276,386,12/25/2023,9,CLIENT A,group,Remote,Yes,75,675
1277,955,4/24/2024,7,CLIENT A,poor,Onsite,Yes,45,315
1278,613,10/18/2024,6,CLIENT A,some,Onsite,Yes,75,450
1279,348,4/8/2025,8,Research,religious,Remote,No,45,360
1280,711,10/3/2025,10,Internal,foreign,Hybrid,No,60,600
1281,731,1/2/2024,10,ProjectX,table,Onsite,No,60,600
1282,197,2/20/2024,8,CLIENT A,score,Remote,No,30,240
1283,291,10/9/2024,9,ProjectX,sea,Remote,No,45,405
1284,421,8/1/2025,10,ClientA,opportunity,Onsite,Yes,45,450
1285,538,6/5/2024,7,CLIENT A,kitchen,Onsite,No,75,525
1286,243,10/2/2025,9,Research,relationship,Remote,Yes,60,540
1287,658,4/29/2024,10,Research,design,Hybrid,Yes,45,450
1288,701,12/12/2023,7,clienta,condition,Remote,Yes,75,525
1289,378,1/16/2024,10,ProjectX,visit,Onsite,No,75,750
1290,169,12/16/2024,9,CLIENT A,particular,Remote,Yes,30,270
1291,98,2/22/2024,8,Research,dog,Onsite,No,60,480
1292,328,3/3/2024,8,Research,suggest,Remote,No,45,360
1293,922,12/15/2024,6,clienta,kind,Remote,No,45,270
1294,579,8/21/2025,7,Internal,certain,Onsite,Yes,30,210
1295,760,11/17/2023,8,Internal,theory,Remote,Yes,60,480
1296,627,7/7/2025,6,ClientA,medical,Remote,Yes,60,360
1297,18,4/22/2025,7,ProjectX,throughout,Hybrid,No,45,315
1298,758,12/18/2023,7,clienta,wrong,Remote,Yes,75,525
1299,924,12/6/2023,10,CLIENT A,reach,Onsite,No,45,450
1300,737,4/23/2025,8,clienta,wait,Remote,Yes,75,600
1301,818,2/27/2024,9,Research,become,Hybrid,Yes,60,540
1302,29,11/28/2024,9,ProjectX,travel,Remote,No,60,540
1303,373,12/13/2023,8,CLIENT A,interview,Onsite,Yes,75,600
1304,765,9/10/2024,10,Internal,what,Hybrid,Yes,60,600
1305,86,10/14/2025,10,ProjectX,issue,Hybrid,No,75,750
1306,924,12/30/2024,7,Internal,whole,Hybrid,No,30,210
1307,125,9/16/2024,6,Research,fine,Hybrid,Yes,30,180
1308,546,12/17/2023,7,CLIENT A,never,Onsite,Yes,30,210
1309,628,2/12/2024,7,Internal,mean,Onsite,No,60,420
1310,824,10/3/2024,7,CLIENT A,between,Hybrid,Yes,60,420
1311,482,6/14/2024,7,CLIENT A,upon,Hybrid,Yes,75,525
1312,220,10/3/2025,8,Internal,involve,Hybrid,No,60,480
1313,290,2/23/2025,6,ClientA,not,Onsite,Yes,45,270
1314,514,7/22/2025,10,CLIENT A,interesting,Remote,Yes,30,300
1315,529,4/9/2024,8,CLIENT A,card,Hybrid,No,75,600
1316,242,11/21/2023,7,CLIENT A,score,Remote,Yes,75,525
1317,600,8/18/2025,6,Research,possible,Remote,No,30,180
1318,713,6/22/2025,6,ClientA,look,Remote,Yes,75,450
1319,123,10/14/2024,7,ProjectX,three,Onsite,No,60,420
1320,411,4/1/2025,6,Research,officer,Onsite,No,45,270
1321,274,8/13/2024,9,Internal,personal,Hybrid,No,60,540
1322,572,5/9/2024,9,CLIENT A,cut,Hybrid,No,75,675
1323,820,9/20/2024,8,CLIENT A,democratic,Hybrid,No,75,600
1324,677,5/30/2025,8,Research,on,Hybrid,Yes,30,240
1325,97,1/24/2025,6,ProjectX,sister,Hybrid,No,75,450
1326,488,8/20/2024,8,ClientA,best,Hybrid,Yes,30,240
1327,393,5/8/2024,8,Research,color,Onsite,No,60,480
1328,974,1/16/2024,7,clienta,over,Remote,No,60,420
1329,309,4/2/2025,7,ClientA,manage,Onsite,No,30,210
1330,181,5/2/2025,9,clienta,money,Hybrid,No,75,675
1331,237,3/16/2025,7,ProjectX,professor,Hybrid,No,30,210
1332,9,6/2/2025,7,Research,board,Onsite,No,60,420
1333,74,1/19/2025,8,Internal,produce,Hybrid,No,30,240
1334,926,4/10/2025,10,ClientA,success,Remote,Yes,60,600
1335,688,5/10/2024,9,clienta,standard,Remote,No,30,270
1336,354,12/13/2023,8,CLIENT A,prepare,Hybrid,Yes,30,240
1337,621,7/26/2024,10,ClientA,serious,Remote,No,75,750
1338,526,8/6/2025,10,Internal,her,Onsite,Yes,45,450
1339,234,10/7/2024,9,Internal,movie,Onsite,No,45,405
1340,421,7/16/2025,8,ProjectX,director,Remote,Yes,60,480
1341,167,12/25/2023,7,ProjectX,goal,Onsite,Yes,60,420
1342,321,1/7/2025,6,Internal,bag,Hybrid,No,60,360
1343,239,6/25/2025,9,ProjectX,arm,Hybrid,No,60,540
1344,983,6/8/2024,6,Internal,child,Hybrid,No,45,270
1345,439,10/16/2025,7,ClientA,myself,Hybrid,Yes,60,420
1346,308,11/10/2023,9,ProjectX,left,Onsite,Yes,60,540
1347,156,8/19/2025,7,ClientA,without,Remote,Yes,30,210
1348,97,10/30/2024,9,clienta,still,Hybrid,Yes,75,675
1349,655,12/22/2023,7,ClientA,eight,Hybrid,No,45,315
1350,499,5/29/2024,10,ProjectX,behavior,Hybrid,Yes,60,600
1351,93,4/1/2024,8,Internal,feeling,Remote,Yes,60,480
1352,744,12/6/2024,10,Research,social,Onsite,Yes,60,600
1353,987,10/14/2025,7,clienta,should,Hybrid,No,45,315
1354,700,2/3/2025,10,ClientA,agent,Hybrid,Yes,60,600
1355,868,9/28/2024,7,ClientA,himself,Onsite,No,45,315
1356,905,5/3/2024,8,ClientA,brother,Remote,Yes,45,360
1357,257,9/30/2025,6,ClientA,production,Remote,No,75,450
1358,348,7/23/2024,8,CLIENT A,director,Onsite,No,30,240
1359,103,6/7/2025,7,Research,race,Remote,Yes,45,315
1360,502,11/28/2023,7,ClientA,market,Hybrid,Yes,75,525
1361,776,12/7/2023,6,ClientA,next,Remote,Yes,75,450
1362,693,8/30/2025,9,Research,line,Onsite,Yes,75,675
1363,875,7/21/2024,8,ClientA,middle,Onsite,Yes,30,240
1364,684,9/26/2025,7,Internal,water,Onsite,No,45,315
1365,894,5/13/2024,9,ClientA,decision,Hybrid,No,60,540
1366,60,5/20/2025,10,CLIENT A,new,Onsite,Yes,60,600
1367,877,10/27/2025,10,CLIENT A,serve,Onsite,Yes,30,300
1368,3,3/4/2025,8,clienta,receive,Onsite,No,30,240
1369,689,6/11/2025,7,Research,clearly,Onsite,Yes,30,210
1370,426,3/5/2025,10,ProjectX,recent,Hybrid,No,30,300
1371,839,5/16/2024,8,clienta,different,Hybrid,No,45,360
1372,217,12/9/2023,9,clienta,record,Hybrid,No,75,675
1373,58,10/19/2025,8,CLIENT A,include,Remote,No,60,480
1374,956,4/8/2025,9,clienta,American,Hybrid,Yes,75,675
1375,962,9/6/2024,10,CLIENT A,attention,Hybrid,Yes,75,750
1376,249,2/12/2024,10,Internal,direction,Hybrid,Yes,75,750
1377,451,10/17/2024,10,ProjectX,war,Hybrid,Yes,45,450
1378,905,6/14/2024,10,Internal,social,Remote,No,30,300
1379,71,2/8/2024,7,CLIENT A,free,Onsite,Yes,75,525
1380,16,6/21/2025,8,Research,individual,Remote,Yes,30,240
1381,178,8/13/2024,10,clienta,own,Remote,No,75,750
1382,195,10/20/2025,6,ProjectX,attack,Hybrid,No,60,360
1383,112,2/9/2025,10,Internal,authority,Remote,Yes,60,600
1384,811,11/1/2025,7,CLIENT A,official,Remote,No,30,210
1385,480,10/3/2024,9,clienta,movie,Remote,No,45,405
1386,542,4/4/2024,6,Research,later,Remote,Yes,30,180
1387,679,9/4/2024,10,Internal,continue,Hybrid,No,45,450
1388,627,8/14/2025,8,Internal,enough,Onsite,No,75,600
1389,36,8/29/2025,6,Internal,sense,Remote,No,45,270
1390,629,7/14/2024,9,Research,at,Hybrid,Yes,60,540
1391,738,6/22/2024,6,Research,son,Remote,No,45,270
1392,863,12/11/2023,6,ClientA,laugh,Onsite,Yes,60,360
1393,987,7/16/2025,9,clienta,range,Remote,Yes,30,270
1394,917,7/12/2025,7,Internal,Mrs,Hybrid,No,60,420
1395,479,4/3/2025,6,ClientA,clear,Hybrid,No,45,270
1396,725,4/28/2025,9,clienta,place,Remote,No,45,405
1397,931,7/17/2024,9,clienta,risk,Onsite,No,30,270
1398,941,4/19/2024,7,Internal,real,Onsite,Yes,30,210
1399,657,4/11/2024,7,clienta,serious,Onsite,Yes,60,420
1400,350,6/16/2025,8,ClientA,memory,Hybrid,Yes,30,240
1401,257,5/28/2024,9,CLIENT A,family,Hybrid,Yes,60,540
1402,630,8/30/2025,10,Research,kid,Remote,No,60,600
1403,339,11/13/2024,6,Research,up,Onsite,No,30,180
1404,579,7/19/2025,10,ClientA,safe,Remote,Yes,60,600
1405,717,1/27/2024,8,Internal,through,Hybrid,No,45,360
1406,277,2/1/2025,7,CLIENT A,perhaps,Remote,No,30,210
1407,363,11/17/2024,10,ProjectX,past,Remote,No,45,450
1408,961,12/23/2023,10,Internal,physical,Hybrid,No,60,600
1409,132,8/25/2024,7,Research,indeed,Onsite,No,60,420
1410,528,8/5/2024,10,Research,product,Remote,Yes,75,750
1411,730,6/25/2024,8,Research,around,Remote,Yes,60,480
1412,595,8/17/2024,7,Internal,learn,Remote,Yes,45,315
1413,933,10/23/2024,9,ClientA,consider,Onsite,Yes,45,405
1414,595,10/27/2025,8,Internal,cost,Remote,Yes,60,480
1415,24,10/5/2024,7,Research,the,Remote,Yes,60,420
1416,706,1/17/2024,6,Research,he,Onsite,Yes,45,270
1417,183,1/18/2024,6,ClientA,central,Hybrid,No,30,180
1418,165,9/18/2024,6,CLIENT A,red,Hybrid,Yes,75,450
1419,535,1/14/2025,6,Research,strategy,Onsite,Yes,60,360
1420,381,5/1/2024,7,clienta,compare,Hybrid,Yes,30,210
1421,27,10/11/2025,10,ProjectX,safe,Hybrid,No,45,450
1422,648,12/22/2024,9,CLIENT A,manage,Onsite,No,45,405
1423,624,1/7/2024,10,ClientA,many,Onsite,No,30,300
1424,844,6/15/2025,8,ProjectX,always,Remote,No,30,240
1425,237,4/7/2025,9,ProjectX,walk,Hybrid,No,45,405
1426,505,10/7/2024,9,ProjectX,road,Onsite,No,75,675
1427,251,3/12/2025,9,Research,product,Hybrid,Yes,45,405
1428,765,11/26/2024,9,clienta,knowledge,Hybrid,Yes,60,540
1429,903,9/1/2024,6,Internal,most,Hybrid,Yes,75,450
1430,915,2/17/2025,6,CLIENT A,candidate,Hybrid,Yes,30,180
1431,922,3/27/2024,10,ClientA,decide,Onsite,Yes,45,450
1432,492,7/6/2025,7,Research,get,Onsite,No,45,315
1433,751,8/27/2025,7,CLIENT A,adult,Hybrid,No,60,420
1434,279,12/14/2023,8,ProjectX,hot,Onsite,No,60,480
1435,507,7/8/2025,8,Internal,about,Onsite,Yes,30,240
1436,360,12/13/2024,7,clienta,add,Remote,No,45,315
1437,597,4/21/2024,9,Internal,level,Remote,Yes,75,675
1438,624,1/6/2024,6,ClientA,wait,Hybrid,No,45,270
1439,696,4/3/2024,10,CLIENT A,mouth,Remote,No,75,750
1440,578,9/26/2024,9,ProjectX,alone,Hybrid,No,60,540
1441,496,12/23/2023,7,ProjectX,scientist,Hybrid,No,45,315
1442,447,3/5/2025,10,ProjectX,sometimes,Onsite,Yes,45,450
1443,674,7/21/2025,6,CLIENT A,subject,Onsite,Yes,60,360
1444,776,6/13/2024,7,clienta,son,Onsite,No,45,315
1445,455,9/24/2024,7,ClientA,television,Remote,Yes,60,420
1446,355,2/13/2024,10,Internal,agency,Remote,Yes,60,600
1447,245,9/27/2024,10,Internal,green,Remote,Yes,60,600
1448,169,4/17/2024,8,ClientA,mother,Remote,No,45,360
1449,816,6/28/2024,6,ProjectX,financial,Hybrid,No,30,180
1450,751,8/19/2024,8,Internal,beyond,Hybrid,Yes,45,360
1451,639,1/21/2025,8,ProjectX,save,Onsite,No,45,360
1452,9,8/12/2024,9,ClientA,end,Hybrid,Yes,75,675
1453,537,4/20/2024,10,ClientA,them,Remote,Yes,60,600
1454,887,2/5/2025,9,Research,believe,Remote,Yes,30,270
1455,279,12/23/2024,10,clienta,law,Onsite,Yes,60,600
1456,350,1/25/2024,6,ClientA,hospital,Onsite,No,45,270
1457,5,11/24/2023,7,clienta,baby,Onsite,No,60,420
1458,529,2/28/2025,7,Research,difficult,Onsite,No,45,315
1459,855,5/10/2024,6,ProjectX,personal,Remote,Yes,75,450
1460,546,2/20/2025,10,clienta,budget,Onsite,No,75,750
1461,49,10/6/2025,10,ProjectX,lead,Hybrid,Yes,75,750
1462,163,10/10/2024,6,ClientA,likely,Remote,No,30,180
1463,573,8/12/2024,9,ClientA,that,Onsite,No,30,270
1464,655,11/23/2024,6,clienta,fire,Remote,No,30,180
1465,470,1/12/2025,9,Research,rich,Remote,No,60,540
1466,82,3/2/2025,9,Internal,edge,Hybrid,No,75,675
1467,891,7/31/2025,9,Research,civil,Remote,No,45,405
1468,690,2/12/2024,10,clienta,something,Remote,No,75,750
1469,841,11/23/2024,9,Research,its,Hybrid,No,45,405
1470,62,2/12/2024,9,CLIENT A,sense,Onsite,No,60,540
1471,565,10/29/2025,10,ProjectX,during,Onsite,Yes,75,750
1472,927,4/8/2025,6,Internal,be,Hybrid,Yes,60,360
1473,151,1/3/2024,8,CLIENT A,total,Onsite,Yes,30,240
1474,223,11/19/2024,9,clienta,do,Remote,No,75,675
1475,317,10/15/2024,8,ClientA,sing,Onsite,No,30,240
1476,711,10/27/2025,9,Internal,cultural,Onsite,No,60,540
1477,254,7/6/2025,9,Research,season,Onsite,Yes,75,675
1478,711,9/29/2025,9,CLIENT A,course,Hybrid,Yes,75,675
1479,477,1/30/2024,8,Research,standard,Hybrid,Yes,45,360
1480,217,3/22/2025,10,CLIENT A,nation,Hybrid,Yes,45,450
1481,634,12/24/2024,7,CLIENT A,plan,Remote,Yes,75,525
1482,763,3/1/2024,9,CLIENT A,four,Onsite,Yes,75,675
1483,948,3/18/2024,9,clienta,population,Onsite,No,75,675
1484,213,7/21/2025,8,Internal,five,Onsite,Yes,45,360
1485,562,9/15/2025,10,Research,remain,Onsite,No,30,300
1486,161,8/26/2025,9,Research,measure,Onsite,Yes,75,675
1487,453,2/20/2025,6,ProjectX,early,Onsite,No,60,360
1488,485,9/26/2025,7,ClientA,long,Remote,Yes,45,315
1489,861,2/29/2024,6,ClientA,huge,Remote,Yes,60,360
1490,287,11/17/2024,10,CLIENT A,party,Hybrid,No,60,600
1491,800,2/26/2024,6,Research,worry,Onsite,Yes,30,180
1492,467,7/30/2025,6,Internal,music,Onsite,Yes,75,450
1493,264,11/6/2024,6,Research,if,Remote,No,45,270
1494,470,2/26/2024,10,CLIENT A,kind,Onsite,Yes,30,300
1495,618,3/4/2024,6,clienta,type,Onsite,Yes,30,180
1496,361,10/12/2025,7,ClientA,president,Hybrid,No,60,420
1497,282,1/25/2025,9,Research,how,Hybrid,No,30,270
1498,109,1/9/2024,10,Research,road,Remote,No,45,450
1499,341,8/23/2024,10,CLIENT A,establish,Onsite,Yes,75,750
1500,314,10/2/2025,10,clienta,positive,Onsite,Yes,60,600
1501,482,10/30/2025,7,CLIENT A,decision,Hybrid,No,30,210
1502,48,4/11/2024,7,ClientA,cost,Onsite,Yes,60,420
1503,173,9/26/2024,7,Research,upon,Onsite,Yes,60,420
1504,35,6/28/2024,6,ProjectX,yeah,Onsite,No,45,270
1505,268,10/14/2025,8,clienta,real,Onsite,Yes,30,240
1506,947,2/14/2024,6,ClientA,third,Remote,No,60,360
1507,190,4/23/2024,8,ClientA,oil,Onsite,No,45,360
1508,88,6/12/2025,10,Research,without,Onsite,Yes,60,600
1509,388,3/30/2025,8,ProjectX,bill,Hybrid,Yes,30,240
1510,116,3/3/2024,10,CLIENT A,writer,Remote,Yes,45,450
1511,462,3/4/2025,9,CLIENT A,suddenly,Remote,Yes,45,405
1512,596,4/3/2025,10,ClientA,yes,Remote,No,30,300
1513,24,10/5/2025,9,ProjectX,grow,Hybrid,No,30,270
1514,967,6/30/2024,9,clienta,him,Onsite,Yes,60,540
1515,61,11/22/2023,6,CLIENT A,usually,Onsite,Yes,45,270
1516,713,10/19/2025,9,clienta,even,Hybrid,No,45,405
1517,886,7/4/2024,8,Internal,now,Onsite,Yes,75,600
1518,189,9/10/2025,10,Internal,because,Onsite,Yes,45,450
1519,271,7/16/2025,8,Internal,common,Hybrid,Yes,75,600
1520,89,1/24/2024,8,Internal,short,Hybrid,Yes,45,360
1521,155,1/8/2024,9,Research,view,Hybrid,No,30,270
1522,695,7/1/2025,8,Research,authority,Hybrid,No,75,600
1523,475,5/11/2024,7,ProjectX,attack,Onsite,No,30,210
1524,250,10/19/2024,8,CLIENT A,question,Hybrid,Yes,60,480
1525,683,2/17/2024,6,ClientA,mission,Hybrid,No,30,180
1526,172,7/5/2024,8,CLIENT A,trip,Onsite,Yes,75,600
1527,570,1/29/2025,10,Internal,start,Onsite,Yes,30,300
1528,442,12/15/2024,6,ClientA,administration,Remote,No,75,450
1529,412,4/18/2025,7,clienta,brother,Hybrid,No,45,315
1530,52,2/17/2025,7,Internal,wonder,Hybrid,Yes,45,315
1531,867,9/11/2024,8,ProjectX,after,Hybrid,No,75,600
1532,718,10/11/2025,10,clienta,thank,Hybrid,Yes,45,450
1533,655,9/25/2025,7,ClientA,treat,Onsite,No,45,315
1534,268,8/14/2025,7,Research,wait,Onsite,No,45,315
1535,781,2/8/2025,10,ClientA,heart,Hybrid,Yes,60,600
1536,460,2/20/2025,9,Internal,east,Onsite,Yes,75,675
1537,829,7/23/2024,6,ClientA,kid,Hybrid,Yes,30,180
1538,765,11/8/2023,7,CLIENT A,difficult,Remote,Yes,30,210
1539,523,3/9/2024,6,Internal,walk,Remote,No,60,360
1540,512,11/12/2023,9,ProjectX,they,Onsite,No,75,675
1541,7,11/8/2023,6,Research,city,Hybrid,Yes,30,180
1542,559,12/14/2023,6,Research,late,Onsite,No,75,450
1543,862,7/26/2025,10,ClientA,strong,Hybrid,No,75,750
1544,202,2/26/2025,8,ClientA,whatever,Hybrid,No,45,360
1545,47,3/29/2024,7,CLIENT A,build,Remote,No,60,420
1546,328,9/16/2024,6,ProjectX,pass,Remote,No,45,270
1547,513,4/3/2024,8,ProjectX,be,Remote,No,45,360
1548,647,8/3/2025,7,ClientA,you,Remote,Yes,30,210
1549,232,5/22/2025,8,Internal,start,Hybrid,No,45,360
1550,811,6/18/2024,10,ClientA,interest,Onsite,Yes,60,600
1551,181,8/31/2025,7,ProjectX,nearly,Remote,No,30,210
1552,388,12/16/2023,8,CLIENT A,school,Hybrid,Yes,30,240
1553,795,1/23/2024,9,ProjectX,within,Remote,Yes,60,540
1554,384,4/9/2024,9,ClientA,manage,Hybrid,No,45,405
1555,312,11/14/2024,10,Internal,tough,Remote,No,75,750
1556,152,8/30/2024,10,Research,listen,Onsite,Yes,30,300
1557,76,2/12/2024,7,ClientA,join,Hybrid,No,30,210
1558,406,9/16/2024,9,ClientA,administration,Onsite,No,75,675
1559,837,2/15/2024,8,Internal,let,Remote,No,30,240
1560,891,1/27/2024,9,CLIENT A,spring,Onsite,No,45,405
1561,12,10/19/2024,6,CLIENT A,wife,Remote,No,60,360
1562,489,8/21/2025,8,ClientA,them,Remote,Yes,60,480
1563,651,2/17/2024,8,CLIENT A,situation,Hybrid,Yes,60,480
1564,644,7/30/2025,7,CLIENT A,customer,Hybrid,Yes,45,315
1565,295,10/17/2024,9,Research,fast,Remote,Yes,60,540
1566,464,8/24/2025,8,CLIENT A,thus,Remote,No,60,480
1567,219,7/13/2025,7,clienta,eat,Onsite,No,30,210
1568,822,4/23/2025,7,ClientA,claim,Onsite,Yes,60,420
1569,90,11/13/2024,9,ClientA,sometimes,Onsite,No,30,270
1570,32,1/12/2025,8,Research,cover,Onsite,Yes,60,480
1571,13,4/16/2024,9,ClientA,name,Remote,Yes,30,270
1572,852,1/3/2024,7,ProjectX,professor,Hybrid,No,60,420
1573,722,1/30/2025,6,ProjectX,serious,Onsite,No,30,180
1574,278,10/8/2025,9,Research,yeah,Hybrid,No,60,540
1575,833,3/23/2025,9,CLIENT A,add,Remote,No,45,405
1576,697,2/8/2024,8,clienta,north,Onsite,No,60,480
1577,371,6/4/2025,10,Research,kid,Onsite,Yes,30,300
1578,186,2/1/2024,9,ProjectX,role,Onsite,No,45,405
1579,604,12/10/2023,6,CLIENT A,white,Remote,Yes,30,180
1580,220,11/21/2024,8,ClientA,until,Remote,Yes,45,360
1581,149,3/29/2024,8,Internal,town,Hybrid,Yes,75,600
1582,649,4/17/2024,9,clienta,similar,Hybrid,No,30,270
1583,948,10/30/2025,10,CLIENT A,music,Hybrid,No,60,600
1584,414,9/13/2024,9,Internal,recent,Remote,No,30,270
1585,883,6/5/2025,7,ProjectX,eight,Onsite,Yes,60,420
1586,217,12/26/2023,9,ProjectX,vote,Hybrid,Yes,30,270
1587,768,5/29/2024,9,Internal,certain,Remote,Yes,60,540
1588,883,10/19/2025,10,ProjectX,apply,Hybrid,Yes,30,300
1589,709,3/28/2025,10,Research,few,Hybrid,No,60,600
1590,471,5/1/2024,6,ClientA,develop,Onsite,No,60,360
1591,240,9/14/2024,7,Internal,myself,Onsite,No,60,420
1592,459,1/31/2024,6,Internal,on,Hybrid,Yes,45,270
1593,413,10/22/2025,6,CLIENT A,myself,Hybrid,No,60,360
1594,291,4/26/2024,6,clienta,happy,Onsite,No,60,360
1595,662,2/14/2024,9,Research,minute,Hybrid,Yes,75,675
1596,771,8/27/2024,7,ProjectX,institution,Onsite,No,30,210
1597,157,6/29/2025,9,ClientA,position,Remote,No,60,540
1598,683,12/31/2023,10,clienta,specific,Hybrid,Yes,45,450
1599,193,6/28/2025,10,Research,everything,Hybrid,No,45,450
1600,371,7/27/2024,6,Internal,bag,Hybrid,Yes,75,450
1601,652,1/2/2024,8,clienta,describe,Hybrid,Yes,75,600
1602,83,3/30/2024,7,ProjectX,begin,Onsite,Yes,60,420
1603,244,5/9/2025,8,clienta,drug,Hybrid,Yes,45,360
1604,456,2/28/2025,6,ClientA,already,Onsite,Yes,30,180
1605,857,9/5/2024,7,clienta,including,Hybrid,Yes,45,315
1606,424,7/18/2024,6,CLIENT A,court,Hybrid,No,45,270
1607,689,11/16/2023,7,clienta,quickly,Hybrid,No,30,210
1608,676,12/25/2023,7,CLIENT A,less,Hybrid,Yes,30,210
1609,318,7/28/2025,9,ProjectX,weight,Remote,No,75,675
1610,805,11/28/2023,10,Research,anyone,Onsite,No,75,750
1611,247,3/9/2024,10,ClientA,son,Remote,Yes,60,600
1612,869,2/26/2024,7,clienta,into,Onsite,Yes,45,315
1613,958,3/17/2025,6,Internal,also,Remote,Yes,60,360
1614,516,11/14/2023,6,Research,key,Remote,No,75,450
1615,594,8/4/2024,10,ClientA,color,Onsite,Yes,75,750
1616,644,4/29/2024,9,Internal,possible,Onsite,Yes,30,270
1617,761,4/20/2025,7,CLIENT A,pick,Onsite,Yes,30,210
1618,895,7/13/2024,9,Internal,business,Hybrid,Yes,75,675
1619,43,1/24/2025,6,ClientA,example,Remote,Yes,60,360
1620,742,12/30/2023,7,Research,step,Hybrid,No,45,315
1621,299,9/22/2025,9,clienta,recently,Hybrid,Yes,75,675
1622,666,4/24/2024,9,clienta,rest,Remote,No,75,675
1623,107,6/7/2024,7,Internal,describe,Remote,No,75,525
1624,364,8/17/2025,9,ClientA,there,Remote,No,30,270
1625,496,7/9/2024,10,ClientA,one,Remote,Yes,75,750
1626,343,6/23/2024,8,clienta,beat,Hybrid,Yes,75,600
1627,657,3/31/2025,10,Research,little,Hybrid,Yes,45,450
1628,263,4/21/2024,6,clienta,surface,Onsite,No,75,450
1629,272,5/17/2024,10,CLIENT A,audience,Onsite,No,30,300
1630,915,4/16/2024,10,ClientA,affect,Remote,Yes,45,450
1631,272,6/4/2024,6,ProjectX,so,Onsite,No,60,360
1632,709,9/4/2024,8,Research,deep,Hybrid,No,75,600
1633,777,5/14/2024,10,ClientA,resource,Hybrid,Yes,75,750
1634,607,1/9/2025,8,ProjectX,conference,Remote,No,45,360
1635,663,11/26/2023,8,CLIENT A,small,Remote,No,45,360
1636,465,12/13/2024,7,Research,team,Hybrid,No,30,210
1637,509,6/22/2024,10,ClientA,baby,Hybrid,Yes,30,300
1638,108,3/4/2025,10,clienta,than,Remote,No,45,450
1639,723,4/13/2025,7,clienta,world,Remote,No,30,210
1640,431,8/22/2024,6,CLIENT A,garden,Onsite,Yes,30,180
1641,352,5/18/2024,8,Research,grow,Hybrid,No,30,240
1642,903,2/23/2025,10,ClientA,direction,Hybrid,Yes,60,600
1643,478,4/13/2025,9,CLIENT A,charge,Onsite,Yes,45,405
1644,720,10/2/2025,10,CLIENT A,physical,Onsite,No,60,600
1645,45,6/30/2025,6,ProjectX,know,Onsite,Yes,60,360
1646,236,2/4/2024,7,clienta,appear,Onsite,Yes,45,315
1647,66,5/7/2025,6,ClientA,late,Remote,No,45,270
1648,58,1/13/2025,8,Internal,between,Hybrid,No,45,360
1649,799,12/5/2023,9,Internal,rich,Remote,Yes,45,405
1650,371,3/26/2025,8,Research,road,Onsite,No,30,240
1651,393,7/23/2025,6,ClientA,heavy,Onsite,No,45,270
1652,865,8/20/2025,7,ProjectX,record,Remote,Yes,30,210
1653,442,1/13/2024,9,clienta,different,Onsite,No,30,270
1654,569,4/15/2024,10,Research,tonight,Remote,Yes,45,450
1655,422,8/10/2024,8,ProjectX,direction,Onsite,Yes,75,600
1656,862,12/6/2024,6,ClientA,sea,Hybrid,Yes,60,360
1657,497,4/28/2024,7,ClientA,edge,Remote,Yes,30,210
1658,724,9/7/2025,7,clienta,keep,Hybrid,No,45,315
1659,840,2/10/2024,7,ClientA,recently,Onsite,Yes,75,525
1660,302,2/7/2024,7,CLIENT A,man,Onsite,No,75,525
1661,886,2/15/2025,8,Research,imagine,Remote,No,30,240
